,Country,Year,CO2 Emissions (kt),CH4 Emissions (kt),N2O Emissions (kt),NOx Emissions (kt),SO2 Emissions (kt),Total Emissions (kt)
1935,Poland,2015,313099.15,1992.23,68.18,725.26,711.43,316596.25
1936,Portugal,2015,52294.06,368.8,10.87,160.46,45.63,52879.82
1937,Republic of Korea,2015,634487.23,25988.34,14322.0,,,674797.57
1938,Romania,2015,77725.63,1181.77,25.0,227.75,154.43,79314.58
1939,Russian Federation,2015,1622861.01,14520.47,272.3,4705.25,684.75,1643043.78
1940,Slovakia,2015,34484.24,181.24,6.91,72.58,66.78,34811.75
1941,Slovenia,2015,13617.54,80.14,2.53,35.25,4.86,13740.320000000002
1942,South Sudan,2015,1828.72,16374.71,15429.48,62.04,7.23,33702.18000000001
1943,Spain,2015,271687.35,1567.59,60.87,857.72,269.81,274443.33999999997
1944,Sweden,2015,43336.76,183.82,15.43,134.92,17.78,43688.71
1945,Switzerland,2015,38733.19,198.96,9.77,72.56,5.66,39020.14
1946,Turkey,2015,381331.94,2054.39,117.54,800.56,1947.19,386251.62
1947,Ukraine,2015,223911.87,2449.44,110.73,561.46,750.57,227784.07
1948,United Kingdom of Great Britain and Northern Ireland,2015,423199.62,2124.96,63.8,1007.06,254.63,426650.07
1949,United States of America,2015,5412432.19,25539.31,1489.33,9952.48,3342.3,5452755.61
1950,Australia,2016,411031.53,4234.96,65.66,2588.3,2465.53,420385.98000000004
1951,Austria,2016,67112.27,265.7,12.15,168.39,13.22,67571.73
1952,Belarus,2016,60284.85,631.36,46.89,1.97,4.85,60969.92
1953,Belgium,2016,99806.94,324.05,19.34,183.31,39.8,100373.44
1954,Bulgaria,2016,45353.72,288.53,17.99,127.74,378.6,46166.579999999994
1955,Canada,2016,564032.53,3700.29,124.97,,,567857.79
1956,Chile,2016,87444.0,11705.4,6913.0,297.5,357.4,106717.29999999999
1957,Croatia,2016,18105.04,163.4,5.35,50.69,14.58,18339.06
1958,Cyprus,2016,7368.23,34.33,0.97,15.22,16.26,7435.01
1959,Czechia,2016,106629.02,539.15,21.82,170.6,115.1,107475.69000000002
1960,Denmark,2016,38301.02,290.12,18.66,116.96,11.05,38737.810000000005
1961,Dominica,2016,169.84,50.04,2.36,,,222.24
1962,Estonia,2016,17377.65,45.01,3.02,39.67,27.52,17492.87
1963,Finland,2016,47227.55,189.13,16.03,127.62,39.77,47600.1
1964,France,2016,347095.62,2309.89,135.93,944.55,183.52,350669.51
1965,Germany,2016,800510.29,2220.28,126.96,1333.1,311.17,804501.8
1966,Greece,2016,71368.36,392.2,14.44,229.79,107.36,72112.15
1967,Hungary,2016,47395.71,292.11,16.11,118.74,23.14,47845.81
1968,Iceland,2016,3497.54,25.92,1.05,20.91,51.57,3596.9900000000002
1969,Ireland,2016,40029.84,547.15,21.7,111.35,13.71,40723.74999999999
1970,Israel,2016,65191.77,7253.92,2253.28,104.63,86.13,74889.73000000001
1971,Italy,2016,356556.2,1735.97,60.74,715.21,116.95,359185.07
1972,Japan,2016,1203167.02,1229.45,67.77,1421.69,700.92,1206586.8499999999
1973,Kazakhstan,2016,288421.37,2150.43,55.67,593.44,637.2,291858.11
1974,Kuwait,2016,83921.36,2002.08,413.54,,,86336.98
1975,Latvia,2016,7220.75,71.23,6.43,32.79,3.43,7334.63
1976,Liechtenstein,2016,149.88,0.74,0.03,,,150.65
1977,Lithuania,2016,13327.51,133.3,10.18,59.6,14.88,13545.47
1978,Luxembourg,2016,9080.25,23.45,1.03,24.74,0.95,9130.420000000002
1979,Malta,2016,1399.49,7.63,0.15,6.09,2.05,1415.41
1980,Monaco,2016,74.66,0.05,0.01,0.17,0.01,74.9
1981,Netherlands,2016,166282.09,733.16,28.45,232.26,27.48,167303.44000000003
1982,New Zealand,2016,34267.62,1370.48,25.06,159.71,69.35,35892.22
1983,Norway,2016,44472.73,197.98,8.13,169.13,15.88,44863.85
1984,Poland,2016,324011.34,1970.84,70.39,742.18,590.66,327385.41000000003
1985,Portugal,2016,50455.57,365.69,10.62,154.08,45.56,51031.520000000004
1986,Republic of Korea,2016,637599.56,25993.59,14830.4,,,678423.55
1987,Romania,2016,75812.8,1160.47,25.21,213.42,100.73,77312.63
1988,Russian Federation,2016,1618304.26,14675.23,283.93,4484.77,707.43,1638455.6199999999
1989,Slovakia,2016,34921.79,183.16,7.15,67.85,26.26,35206.21000000001
